intervs : BEFOR, AFTER, IS_IN, INCLU, DURIN, DUR_I, IBEFO, IAFTE, BEGIN, BGNBY, ENDS , ENDBY, SIMUL, IDENT
  113   :  0.24,  0.16,  0.14,  0.05,  0.08,  0.00,  0.00,  0.00,  0.00,  0.01,  0.01,  0.02,  0.13,  0.04
   12   :  1.85,  0.93,  1.85,  0.93,  0.00,  0.00,  0.00,  0.93,  0.00,  0.00,  0.00,  0.00,  1.85,  0.00
   57   :  0.15,  0.41,  0.60,  0.26,  0.00,  0.00,  0.00,  0.00,  0.04,  0.00,  0.04,  0.04,  0.19,  0.04
   26   :  0.70,  0.35,  1.05,  0.87,  0.00,  0.00,  0.00,  0.17,  0.00,  0.00,  0.00,  0.00,  0.35,  0.35
   37   :  0.74,  0.33,  0.16,  0.33,  0.00,  0.00,  0.00,  0.00,  0.08,  0.00,  0.00,  0.25,  0.74,  0.08
   43   :  0.80,  0.37,  0.37,  0.00,  0.24,  0.00,  0.00,  0.00,  0.06,  0.00,  0.06,  0.00,  0.12,  0.31
   16   :  1.39,  0.69,  1.04,  0.69,  0.00,  0.00,  0.00,  0.00,  0.35,  0.35,  0.00,  0.35,  0.35,  1.04
   17   :  1.96,  0.00,  1.47,  0.00,  1.47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.49,  0.00,  0.49
   42   :  0.77,  0.21,  0.28,  0.21,  0.00,  0.00,  0.00,  0.00,  0.14,  0.00,  0.00,  0.14,  0.21,  0.42
   20   :  0.79,  0.53,  0.00,  0.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.89,  0.53
   30   :  0.42,  0.00,  1.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.14,  0.00,  0.83,  0.00,  0.00
   29   :  1.02,  0.26,  0.77,  0.38,  0.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.26,  0.64
    6   : 10.00,  0.00,  0.00,  0.00,  3.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.33,  0.00
   17   :  2.10,  0.84,  0.00,  0.84,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.42,  1.68
   28   :  0.86,  0.29,  0.14,  0.00,  0.14,  0.00,  0.00,  0.57,  0.00,  0.00,  0.00,  0.14,  0.71,  0.71
   19   :  1.32,  0.00,  0.66,  0.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.64,  0.99,  0.33
   44   :  1.04,  0.18,  0.43,  0.06,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.12,  0.12,  0.31
  135   :  0.22,  0.19,  0.07,  0.06,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.01,  0.02,  0.09,  0.01
   59   :  0.28,  0.32,  0.48,  0.04,  0.08,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.20,  0.28
   48   :  0.62,  0.16,  0.83,  0.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.16,  0.10,  0.10
   69   :  0.49,  0.13,  0.22,  0.16,  0.04,  0.00,  0.02,  0.02,  0.04,  0.00,  0.00,  0.04,  0.16,  0.11
   52   :  0.48,  0.11,  0.48,  0.00,  0.32,  0.00,  0.00,  0.00,  0.00,  0.11,  0.00,  0.00,  0.32,  0.11
