intervs : BEFOR, AFTER, IS_IN, INCLU, DURIN, DUR_I, IBEFO, IAFTE, BEGIN, BGNBY, ENDS , ENDBY, SIMUL, IDENT
  113   : 26.83, 18.29, 15.85,  6.10,  8.54,  0.00,  0.00,  0.00,  0.00,  1.22,  1.22,  2.44, 14.63,  4.88
   12   : 22.22, 11.11, 22.22, 11.11,  0.00,  0.00,  0.00, 11.11,  0.00,  0.00,  0.00,  0.00, 22.22,  0.00
   57   :  8.51, 23.40, 34.04, 14.89,  0.00,  0.00,  0.00,  0.00,  2.13,  0.00,  2.13,  2.13, 10.64,  2.13
   26   : 18.18,  9.09, 27.27, 22.73,  0.00,  0.00,  0.00,  4.55,  0.00,  0.00,  0.00,  0.00,  9.09,  9.09
   37   : 27.27, 12.12,  6.06, 12.12,  0.00,  0.00,  0.00,  0.00,  3.03,  0.00,  0.00,  9.09, 27.27,  3.03
   43   : 34.21, 15.79, 15.79,  0.00, 10.53,  0.00,  0.00,  0.00,  2.63,  0.00,  2.63,  0.00,  5.26, 13.16
   16   : 22.22, 11.11, 16.67, 11.11,  0.00,  0.00,  0.00,  0.00,  5.56,  5.56,  0.00,  5.56,  5.56, 16.67
   17   : 33.33,  0.00, 25.00,  0.00, 25.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  8.33,  0.00,  8.33
   42   : 32.35,  8.82, 11.76,  8.82,  0.00,  0.00,  0.00,  0.00,  5.88,  0.00,  0.00,  5.88,  8.82, 17.65
   20   : 15.79, 10.53,  0.00,  5.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 57.89, 10.53
   30   : 12.50,  0.00, 58.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  4.17,  0.00, 25.00,  0.00,  0.00
   29   : 29.63,  7.41, 22.22, 11.11,  3.70,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.41, 18.52
    6   : 60.00,  0.00,  0.00,  0.00, 20.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 20.00,  0.00
   17   : 35.71, 14.29,  0.00, 14.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.14, 28.57
   28   : 24.00,  8.00,  4.00,  0.00,  4.00,  0.00,  0.00, 16.00,  0.00,  0.00,  0.00,  4.00, 20.00, 20.00
   19   : 25.00,  0.00, 12.50,  6.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 31.25, 18.75,  6.25
   44   : 45.95,  8.11, 18.92,  2.70,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  5.41,  5.41, 13.51
  135   : 29.46, 25.89,  8.93,  8.04, 10.71,  0.00,  0.00,  0.00,  0.00,  0.00,  1.79,  2.68, 11.61,  0.89
   59   : 16.67, 19.05, 28.57,  2.38,  4.76,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 11.90, 16.67
   48   : 30.00,  7.50, 40.00,  5.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  7.50,  5.00,  5.00
   69   : 33.85,  9.23, 15.38, 10.77,  3.08,  0.00,  1.54,  1.54,  3.08,  0.00,  0.00,  3.08, 10.77,  7.69
   52   : 25.00,  5.56, 25.00,  0.00, 16.67,  0.00,  0.00,  0.00,  0.00,  5.56,  0.00,  0.00, 16.67,  5.56
   11   : 25.00, 16.67, 41.67,  8.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  8.33,  0.00
   59   : 30.43,  0.00, 19.57, 15.22,  6.52,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.17, 10.87, 15.22
   18   : 42.86, 14.29, 14.29,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 14.29,  0.00,  0.00,  0.00, 14.29
   58   : 15.91,  9.09, 27.27,  2.27,  4.55,  0.00,  0.00,  0.00,  0.00, 11.36,  0.00,  6.82,  9.09, 13.64
   19   : 15.38, 15.38, 23.08,  7.69,  7.69,  0.00,  0.00,  0.00,  0.00,  0.00,  7.69,  0.00, 15.38,  7.69
   12   : 22.22, 11.11, 55.56, 11.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
   27   : 12.50, 16.67, 20.83,  8.33,  0.00,  0.00,  4.17,  0.00,  4.17,  0.00,  0.00,  4.17,  4.17, 25.00
   20   : 17.65, 11.76, 17.65, 17.65,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 29.41,  5.88
